SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1968395,OI24HOPB12-B2 SISA,OI24 JOGGER H BASICO LISO SISA GRAPHITE,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968389,OI24HOPO65-K1,OI24 POLERA H MC KI HIGH DENSITY LILAC,False,STITCH (BD) KNITWEAR,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968388,OI24HOPO29-B3,OI24 POLERA HOMBRE MC NATURE WHITE,False,STITCH (BD) KNITWEAR,VESTUARIO,Paula Molina,False,No completado - Nuevo
1968244,OI24HOPO02-B7,OI24 POLERA HOMBRE MC CR LISA BOURDEAUX,False,STITCH (BD) KNITWEAR,VESTUARIO,Paula Molina,False,No completado - Nuevo
1964384,OI24WMSP03B6,OI24 PX3 CALCETIN MJ MC PRNT WINTER,False,PEPWING TEXTILE IMP.&EXP. CO.LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1966285,OI24WMBI40K2,OI24 BIKINI MUJ SEAML ENCAJ K ITEM MENTA,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966313,OI24WMCU05B1-SISA,OI24 PX2 PANTALET MUJ PRNT SS ASSORTMENT,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1968247,OI24HOPO15-B6,OI24 POLERA HOMBRE ML CR LISA ARMY,False,STITCH (BD) KNITWEAR,VESTUARIO,Paula Molina,False,No completado - Nuevo
1964378,OI24WMSP03B1,OI24 PX3 CALCETIN MJ MC PRNT ANIMAL PRIN,False,PEPWING TEXTILE IMP.&EXP. CO.LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
1964374,OI24WMSP02B2-SISA,OI24 PX3 CALCETIN MJ MC LISO SS GREY,False,PEPWING TEXTILE IMP.&EXP. CO.LTD.,VESTUARIO,Paula Molina,False,No completado - Nuevo
